country,code,gdp_ppp
Indonesia,IDN,3.33E+12
IDA only,IDX,3.83E+12
Isle of Man,IMN,
India,IND,9.61E+12
Not classified,INX,
Ireland,IRL,4.36E+11
Iran,IRN,
Iraq,IRQ,4.45E+11
Iceland,ISL,21700953992
Israel,ISR,3.82E+11
Italy,ITA,2.66E+12
Jamaica,JAM,29972389393
Jordan,JOR,1.04E+11
Japan,JPN,5.46E+12
Kazakhstan,KAZ,5.08E+11
Kenya,KEN,2.37E+11
Kyrgyz Republic,KGZ,35324483007
Cambodia,KHM,75354943361
Kiribati,KIR,278663362.8
St. Kitts and Nevis,KNA,1449932999
South Korea,KOR,2.22E+12
Kuwait,KWT,2.18E+11
Latin America & Caribbean (excluding high income),LAC,9.96E+12
Lao PDR,LAO,58436452733
Lebanon,LBN,1.05E+11
Liberia,LBR,7341849948
Libya,LBY,1.07E+11
St. Lucia,LCA,2940920679
Latin America & Caribbean,LCN,1.09E+13
Least developed countries: UN classification,LDC,3.22E+12
Low income,LIC,1.66E+12
Liechtenstein,LIE,
Sri Lanka,LKA,2.97E+11
Lower middle income,LMC,1.99E+13
Low & middle income,LMY,7.16E+13
Lesotho,LSO,6125919028
Late-demographic dividend,LTE,4.19E+13
Lithuania,LTU,1.06E+11
Luxembourg,LUX,75188883904
Latvia,LVA,61600332701
"Macao SAR, China",MAC,82683380027
St. Martin (French part),MAF,
Morocco,MAR,2.90E+11
Monaco,MCO,
Moldova,MDA,36074901315
Madagascar,MDG,46237459719
Maldives,MDV,10458837368
Middle East & North Africa,MEA,7.98E+12
Mexico,MEX,2.60E+12
Marshall Islands,MHL,
Middle income,MIC,7.00E+13
North Macedonia,MKD,37116532856
Mali,MLI,47647700993
Malta,MLT,22946901130
Myanmar,MMR,2.89E+11
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,14302108533
Mongolia,MNG,41346475102
Northern Mariana Islands,MNP,
Mozambique,MOZ,40493660661
Mauritania,MRT,24494963750
Mauritius,MUS,30303820357
Malawi,MWI,20559497697
Malaysia,MYS,9.43E+11
North America,NAC,2.34E+13
Namibia,NAM,25036580984
New Caledonia,NCL,
Niger,NER,29595316384
Nigeria,NGA,1.07E+12
Nicaragua,NIC,36859041159
Netherlands,NLD,1.03E+12
Norway,NOR,3.57E+11
Nepal,NPL,1.02E+11
Nauru,NRU,151979418.5
New Zealand,NZL,2.16E+11
OECD members,OED,6.32E+13
Oman,OMN,1.45E+11
Other small states,OSS,7.50E+11
Pakistan,PAK,1.06E+12
Panama,PAN,1.39E+11
Peru,PER,4.35E+11
Philippines,PHL,1.00E+12
Palau,PLW,
Papua New Guinea,PNG,40101957741
Poland,POL,1.30E+12
Pre-demographic dividend,PRE,3.45E+12
Puerto Rico,PRI,1.15E+11
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,3.75E+11
Paraguay,PRY,93061810685
West Bank and Gaza,PSE,
Pacific island small states,PSS,18973230115
Post-demographic dividend,PST,5.70E+13
French Polynesia,PYF,
Qatar,QAT,2.73E+11
Romania,ROU,6.25E+11
Russia,RUS,4.28E+12
Rwanda,RWA,29275409706
South Asia,SAS,1.20E+13
Saudi Arabia,SAU,1.68E+12
Sudan,SDN,1.76E+11
Senegal,SEN,57616915772
Singapore,SGP,5.78E+11
Solomon Islands,SLB,1651462433
Sierra Leone,SLE,13982439173
El Salvador,SLV,58983579232
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,1.32E+11
Sub-Saharan Africa (excluding high income),SSA,4.31E+12
South Sudan,SSD,
Sub-Saharan Africa,SSF,4.34E+12
Small states,SST,8.87E+11
Sao Tome and Principe,STP,887764535.6
Suriname,SUR,9886478960
Slovak Republic,SVK,1.86E+11
Slovenia,SVN,84888696324
Sweden,SWE,5.74E+11
Eswatini,SWZ,10388485666
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,2954128696
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,26234112465
East Asia & Pacific (IDA & IBRD countries),TEA,3.14E+13
Europe & Central Asia (IDA & IBRD countries),TEC,1.11E+13
Togo,TGO,13433477010
Thailand,THA,1.34E+12
Tajikistan,TJK,32808324374
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1.06E+13
Timor-Leste,TLS,4205929511
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,
South Asia (IDA & IBRD),TSA,1.20E+13
Sub-Saharan Africa (IDA & IBRD countries),TSS,4.34E+12
Trinidad and Tobago,TTO,38028095615
Tunisia,TUN,1.31E+11
Turkey,TUR,2.33E+12
Tuvalu,TUV,52002079.42
Tanzania,TZA,1.56E+11
Uganda,UGA,1.01E+11
Ukraine,UKR,5.61E+11
Upper middle income,UMC,5.00E+13
Uruguay,URY,77732052861
United States,USA,2.14E+13
Uzbekistan,UZB,2.45E+11
St. Vincent and the Grenadines,VCT,1435765529
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,8.08E+11
Vanuatu,VUT,981788161.3
World,WLD,1.36E+14
Samoa,WSM,1337723243
Kosovo,XKX,21241888548
"Yemen, Rep.",YEM,
South Africa,ZAF,7.61E+11
Zambia,ZMB,64723003601
Zimbabwe,ZWE,43255157063
